iter	Passed	Remaining
0	137	137524
1	138	69162
2	140	46571
3	141	35142
4	142	28267
5	142	23675
6	143	20423
7	145	17981
8	145	16068
9	146	14540
10	147	13293
11	148	12247
12	149	11362
13	150	10602
14	151	9942
15	153	9427
16	154	8925
17	155	8475
18	156	8067
19	157	7702
20	158	7370
21	158	7066
22	159	6791
23	160	6538
24	161	6305
25	162	6085
26	163	5886
27	164	5697
28	165	5526
29	165	5363
30	166	5214
31	168	5091
32	169	4959
33	170	4834
34	171	4719
35	172	4608
36	173	4504
37	174	4408
38	174	4311
39	175	4222
40	176	4138
41	177	4054
42	178	3978
43	179	3903
44	180	3832
45	182	3792
46	184	3733
47	185	3672
48	186	3616
49	187	3558
50	188	3501
51	189	3448
52	190	3396
53	190	3345
54	191	3295
55	192	3247
56	193	3201
57	196	3184
58	197	3146
59	198	3105
60	199	3065
61	200	3027
62	201	2991
63	202	2955
64	203	2921
65	203	2885
66	204	2851
67	205	2819
68	206	2787
69	207	2755
70	208	2724
71	209	2694
72	210	2673
73	211	2647
74	212	2624
75	213	2598
76	214	2572
77	215	2546
78	216	2520
79	216	2495
80	217	2470
81	218	2446
82	218	2418
83	219	2395
84	220	2372
85	221	2350
86	222	2330
87	222	2309
88	223	2288
89	224	2270
90	225	2255
91	226	2237
92	227	2217
93	228	2199
94	228	2180
95	229	2163
96	230	2146
97	231	2129
98	232	2112
99	232	2096
100	233	2080
101	234	2064
102	235	2048
103	235	2032
104	236	2017
105	237	2003
106	238	1988
107	239	1974
108	240	1966
109	241	1953
110	242	1939
111	243	1926
112	243	1914
113	244	1901
114	245	1888
115	246	1875
116	246	1861
117	247	1850
118	248	1838
119	249	1826
120	249	1815
121	250	1802
122	251	1791
123	252	1781
124	252	1770
125	253	1759
126	254	1748
127	256	1745
128	257	1737
129	258	1727
130	258	1718
131	259	1707
132	260	1697
133	261	1688
134	262	1678
135	262	1669
136	263	1659
137	264	1650
138	265	1641
139	265	1632
140	266	1624
141	267	1615
142	268	1606
143	268	1598
144	269	1590
145	271	1585
146	272	1578
147	272	1571
148	273	1563
149	274	1555
150	275	1547
151	276	1540
152	276	1532
153	277	1524
154	278	1517
155	279	1510
156	280	1503
157	280	1496
158	281	1489
159	282	1483
160	283	1475
161	284	1469
162	284	1462
163	287	1463
164	287	1456
165	288	1450
166	289	1443
167	290	1437
168	290	1430
169	291	1424
170	292	1418
171	293	1411
172	294	1405
173	294	1400
174	295	1394
175	296	1388
176	297	1382
177	298	1376
178	298	1371
179	299	1365
180	300	1360
181	302	1357
182	302	1352
183	303	1347
184	304	1341
185	305	1336
186	306	1330
187	306	1325
188	307	1320
189	308	1314
190	309	1309
191	309	1304
192	310	1299
193	311	1294
194	312	1289
195	313	1284
196	314	1279
197	314	1274
198	315	1269
199	317	1268
200	317	1263
201	318	1258
202	319	1253
203	320	1248
204	320	1244
205	321	1239
206	322	1235
207	323	1230
208	323	1226
209	324	1221
210	325	1217
211	326	1212
212	327	1208
213	327	1203
214	328	1199
215	329	1195
216	330	1191
217	331	1189
218	332	1187
219	333	1183
220	334	1178
221	335	1174
222	335	1170
223	336	1166
224	337	1162
225	338	1158
226	339	1154
227	339	1150
228	340	1146
229	341	1142
230	342	1138
231	342	1134
232	343	1131
233	344	1127
234	345	1123
235	346	1120
236	348	1120
237	348	1116
238	349	1113
239	350	1109
240	351	1105
241	351	1102
242	352	1098
243	353	1095
244	354	1091
245	354	1087
246	355	1084
247	356	1080
248	357	1077
249	357	1073
250	358	1070
251	359	1067
252	360	1063
253	361	1061
254	363	1062
255	364	1059
256	365	1056
257	366	1053
258	367	1050
259	368	1047
260	369	1045
261	369	1041
262	370	1039
263	371	1036
264	372	1034
265	373	1031
266	374	1028
267	375	1025
268	376	1022
269	377	1021
270	378	1018
271	379	1016
272	380	1013
273	381	1009
274	381	1006
275	382	1003
276	383	1000
277	384	997
278	384	994
279	385	991
280	386	988
281	387	986
282	388	983
283	388	980
284	389	977
285	390	974
286	391	972
287	393	971
288	394	969
289	394	966
290	395	964
291	396	961
292	397	958
293	397	955
294	398	953
295	399	950
296	400	947
297	401	944
298	401	942
299	402	939
300	403	936
301	404	934
302	405	931
303	405	929
304	406	926
305	408	926
306	409	924
307	410	921
308	410	918
309	411	916
310	412	913
311	413	911
312	414	908
313	414	906
314	415	903
315	416	901
316	417	899
317	418	896
318	418	894
319	419	892
320	420	889
321	421	887
322	422	884
323	423	884
324	424	882
325	425	879
326	426	877
327	427	875
328	427	872
329	428	870
330	429	867
331	430	865
332	430	862
333	431	860
334	432	858
335	433	856
336	434	853
337	435	852
338	436	850
339	437	848
340	448	866
341	449	863
342	449	861
343	450	859
344	451	856
345	452	854
346	452	852
347	453	850
348	454	848
349	455	846
350	456	843
351	457	841
352	458	839
353	458	837
354	459	835
355	460	833
356	461	831
357	462	829
358	463	828
359	464	825
360	465	823
361	466	821
362	466	819
363	467	816
364	468	814
365	470	814
366	471	812
367	471	810
368	472	808
